,C,H,C=C,C#C,Ar,O-alc,O-eth,O-ald,O-ket,O-acid,O-ester,R3,R4,R5,R6,R7,R8,M,measured_st,molecule,density
113,10.0,22.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.28199999999995,32.0,Triethylene glycol n-butyl ether,0.9890000000000001
114,5.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,134.131,41.4,Glycerol acetate,1.21
115,4.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.12299999999999,16.5,Diethyl ether,0.7134
116,5.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.15,19.5,Butyl methyl ether,0.7440000000000001
117,5.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.14999999999999,19.1,tert-Butyl methyl ether,0.7405
118,5.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.14999999999999,19.3,Ethyl propyl ether,0.733
119,6.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.17699999999999,20.0,Di-n-propyl ether,0.7466
120,6.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.17699999999999,17.3,Diisopropyl ether,0.7258
121,6.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.177,21.4,Methyl pentyl ether,0.759
122,6.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.17699999999999,20.2,Butyl ethyl ether,0.75
123,8.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.231,22.4,Di-n-butyl ether,0.7684
124,10.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.28499999999997,24.4,Dipentyl ether,0.785
125,12.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.33899999999994,25.4,Dihexyl ether,0.7936
126,14.0,14.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.26500000000001,39.6,Dibenzylether,1.04
127,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,58.08,22.2,"1,2-Propylene oxide",0.83
129,4.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.107,26.5,Tetrahydrofuran,0.8892
130,4.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.122,24.2,"1,2-Dimethoxyethane",0.86285
131,4.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,88.106,32.8,"1,4-Dioxane",1.0337
132,6.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.175,29.4,Diethylene glycol dimethyl ether,0.9451
